"track_artist","track_popularity","playlist_genre","playlist_subgenre","release_date","duration_min","danceability","energy","loudness","speechiness","acousticness","liveness","tempo"
"LMFAO",67,"latin","latin hip hop","2011-01-01",4.36955,0.75,0.727,-4.21,0.142,0.0189,0.266,129.993
"Nick Jonas",49,"pop","post-teen pop","2010-01-01",3.12711666666667,0.509,0.495,-6.073,0.0515,0.491,0.0773,112.893
"Black Sabbath",66,"rock","classic rock","1970-09-18",5.92173333333333,0.336,0.792,-10.875,0.0848,0.00349,0.0437,155.588
"Eyes Everywhere",20,"edm","electro house","2018-06-08",6.27211666666667,0.715,0.924,-4.833,0.046,0.000396,0.0534,124.003
"Piso 21",79,"latin","latin hip hop","2019-07-05",3.58478333333333,0.703,0.776,-3.075,0.2,0.0746,0.123,182.136
"Arcangel",0,"latin","latin pop","2015-12-11",3.25621666666667,0.701,0.808,-4.949,0.112,0.287,0.099,180.067
"Culture Code",58,"edm","pop edm","2016-12-13",3.28421666666667,0.541,0.65,-4.665,0.0414,0.211,0.1,95.019
"KYLE",70,"r&b","hip pop","2018-05-18",4.204,0.723,0.654,-6.82,0.298,0.384,0.384,149.949
"Coldplay",77,"pop","post-teen pop","2011-10-24",4.64531666666667,0.449,0.585,-6.762,0.0268,0.0522,0.0833,139.627
"Surfaces",81,"rap","southern hip hop","2019-01-06",2.64285,0.878,0.525,-6.832,0.0578,0.183,0.0714,112.022
"Saco",51,"latin","tropical","2019-09-27",3.23931666666667,0.719,0.653,-6.493,0.0254,0.291,0.121,116.93
"Ghetto Phénomène",70,"rap","hip hop","2019-11-08",3.87733333333333,0.868,0.662,-6.144,0.153,0.598,0.112,132.026
"Aerosmith",78,"rock","permanent wave","1973-01-05",4.44933333333333,0.307,0.433,-10.057,0.029,0.388,0.332,160.9
"Guy",0,"r&b","new jack swing","2002-01-01",3.526,0.797,0.926,-5.561,0.0803,0.0344,0.113,104.592
"Lauren Mia",37,"edm","electro house","2019-09-02",7.60205,0.626,0.745,-10.98,0.039,0.237,0.165,125.009
"Babyface",13,"r&b","new jack swing","1993-08-24",3.82178333333333,0.813,0.432,-13.324,0.0602,0.251,0.115,84.612
"Royal Bliss",34,"rock","hard rock","2018-09-28",3.23841666666667,0.47,0.93,-3.4,0.0682,5e-05,0.553,110.085
"The Knocks",62,"pop","indie poptimism","2018-03-09",4.03391666666667,0.648,0.75,-3.248,0.0335,0.0609,0.104,105.03
"Tinariwen",46,"rock","classic rock","2014-02-10",4.33755,0.494,0.661,-7.54,0.047,0.486,0.116,89.659
"Nice Cut",23,"latin","latin pop","2019-02-18",3.39198333333333,0.679,0.652,-12.116,0.0323,0.00806,0.251,125.005
"SHAED",77,"r&b","urban contemporary","2018-09-21",3.06766666666667,0.689,0.412,-7.523,0.0301,0.488,0.0659,126.754
"John Mailander",0,"r&b","hip pop","2014-09-24",3.54978333333333,0.448,0.529,-10.922,0.0453,0.498,0.356,132.619
"Ava Max",60,"pop","dance pop","2019-09-05",2.83225,0.742,0.864,-5.06,0.0976,0.00141,0.241,125.032
"Quintino",38,"edm","big room","2014-10-13",4.74891666666667,0.636,0.828,-4.892,0.0368,0.000396,0.0452,128.044
"Calvin Harris",69,"edm","pop edm","2012-10-26",3.90845,0.695,0.869,-5.066,0.0483,0.41,0.237,124.989
"India.Arie",0,"r&b","neo soul","2002-09-24",4.31933333333333,0.608,0.546,-12.805,0.0892,0.433,0.362,93.161
"Tommie Sunshine",46,"edm","electro house","2018-10-05",3.62003333333333,0.784,0.883,-6.564,0.118,0.00604,0.36,126.013
"White 2115",44,"rap","trap","2018-05-16",2.56028333333333,0.665,0.614,-8.837,0.0381,0.1,0.12,150.082
"Foreigner",52,"rock","album rock",NA,3.74221666666667,0.682,0.711,-7.637,0.0325,0.179,0.126,129.546
"The Beatles",73,"rock","classic rock","1965-12-03",2.43888333333333,0.688,0.435,-11.359,0.0323,0.449,0.113,103.239
"Coldplay",71,"rock","permanent wave","2000-07-10",4.55711666666667,0.561,0.547,-7.496,0.0321,0.189,0.17,139.755
"Bruno Mars",32,"latin","latin hip hop","2017-01-27",3.746,0.809,0.807,-4.284,0.0744,0.0301,0.0814,106.983
"N.W.A.",1,"rap","gangster rap","1988-08-08",5.61528333333333,0.894,0.698,-8.264,0.275,0.0279,0.329,98.104
"Redman",62,"rap","southern hip hop","1992-01-01",3.35621666666667,0.697,0.687,-11.111,0.379,0.26,0.403,90.247
"The Cranberries",48,"rock","album rock","1994-10-03",4.53111666666667,0.429,0.689,-9.44,0.0357,0.00389,0.095,101.875
"Moonfall",31,"pop","indie poptimism","2019-09-26",3.12708333333333,0.657,0.811,-5.437,0.0465,0.0665,0.312,119.995
"Cinderella",54,"rock","hard rock",NA,3.70778333333333,0.537,0.9,-11.88,0.0301,0.00575,0.2,132.742
"Tellow",4,"latin","tropical","2018-11-16",3.04663333333333,0.671,0.749,-4.371,0.0294,0.00624,0.0883,109.932
"REO Speedwagon",49,"rock","classic rock",NA,3.354,0.316,0.739,-5.843,0.0338,0.036,0.187,174.903
"Color Me Badd",25,"r&b","new jack swing","1991-07-23",5.37555,0.587,0.326,-11.204,0.0242,0.208,0.133,90.813
"Ata Kak",42,"rock","classic rock","2015-03-03",5.64016666666667,0.907,0.66,-11.951,0.0459,0.0335,0.112,130.747
"Madison Beer",73,"pop","post-teen pop","2018-02-02",3.17626666666667,0.631,0.599,-6.137,0.0878,0.067,0.0952,170.122
"OFFAIAH",38,"edm","electro house","2018-08-03",2.91255,0.819,0.967,-5.465,0.159,0.000673,0.0582,124.013
"Musiq Soulchild",57,"r&b","neo soul","2000-01-01",4.19045,0.754,0.376,-7.561,0.204,0.404,0.358,95.018
"Husman",5,"edm","progressive electro house","2014-05-19",3.34375,0.422,0.529,-6.477,0.0385,0.0169,0.172,125.602
"Kike Pavón",53,"latin","latin hip hop","2017-06-08",3.95245,0.721,0.856,-3.617,0.142,0.00795,0.0552,100.06
"Brenky",50,"rap","hip hop","2018-10-05",1.8279,0.477,0.13,-14.846,0.131,0.776,0.142,148.643
"Thin Lizzy",0,"rock","hard rock",NA,5.10375,0.259,0.913,-8.477,0.134,0.0666,0.803,144.815
"Carlos Vives",58,"latin","latin pop",NA,4.43,0.663,0.605,-8.534,0.0588,0.437,0.0894,100.854
"Deitrick Haddon",46,"r&b","urban contemporary","2008-09-02",3.30666666666667,0.704,0.841,-4.784,0.0553,0.0228,0.463,150.072
"Aloe Blacc",65,"pop","electropop","2010-09-28",4.05088333333333,0.84,0.482,-7.116,0.0333,0.202,0.0873,95.498
"Valeria",15,"pop","electropop","2015-11-25",3.74886666666667,0.781,0.419,-12.23,0.031,0.35,0.11,130.042
"Night Lovell",49,"rap","gangster rap","2019-02-22",2.37036666666667,0.879,0.591,-6.194,0.149,0.431,0.123,134.99
"Jennifer Lopez",59,"rap","trap","2018-11-09",3.71311666666667,0.877,0.619,-6.692,0.233,0.119,0.088,138.109
"Chris Wandell",60,"latin","reggaeton","2019-12-06",5.63418333333333,0.797,0.687,-6.037,0.188,0.344,0.14,91.975
"After 7",39,"r&b","new jack swing","1997-01-01",4.91,0.612,0.542,-7.563,0.0264,0.0781,0.0763,76.744
"JAY-Z",66,"rap","gangster rap","1998-11-29",3.97445,0.884,0.679,-5.857,0.282,0.0957,0.0289,76.993
"Van Morrison",2,"rock","album rock","1970-02-28",4.58821666666667,0.625,0.428,-7.813,0.0294,0.38,0.27,133.166
"Little Mix",77,"edm","pop edm","2015-11-06",4.16355,0.534,0.642,-3.971,0.0504,0.259,0.29,92.963
"Zion & Lennox",76,"latin","reggaeton","2018-02-23",4.16015,0.769,0.838,-5.238,0.0633,0.16,0.0935,93.996
"Sebastian Mateo",21,"edm","big room","2019-07-12",2.32356666666667,0.63,0.987,-1.853,0.134,0.0814,0.361,127.989
"Mau y Ricky",77,"latin","latin pop","2019-10-11",3.71978333333333,0.728,0.83,-4,0.36,0.234,0.0962,175.984
"Lele Pons",65,"latin","latin pop","2019-12-06",2.6255,0.705,0.881,-3.81,0.0498,0.0912,0.127,167.829
"Nick Cave & The Bad Seeds",51,"rock","permanent wave","2013-02-18",6.59956666666667,0.341,0.422,-10.596,0.0293,0.43,0.22,83.33
"Gavin Santi",41,"rap","trap","2019-08-02",2.18253333333333,0.708,0.501,-8.661,0.176,0.0843,0.106,128.004
"Buena Vista Social Club",67,"r&b","urban contemporary","1997-06-23",4.27755,0.396,0.496,-11.728,0.0356,0.833,0.0996,165.647
"Drake",83,"edm","pop edm","2016-05-06",2.89978333333333,0.792,0.625,-5.609,0.0536,0.00776,0.329,103.967
"Olszakumpel",56,"rap","hip hop","2019-11-22",3.41758333333333,0.732,0.873,-3.846,0.204,0.251,0.303,149.923
"Juice WRLD",80,"rap","trap","2019-03-08",4.14051666666667,0.745,0.561,-4.869,0.0807,0.0758,0.133,77.557
"Calvin Harris",38,"edm","pop edm","2015-04-10",4.93733333333333,0.512,0.986,-3.04,0.0387,0.000678,0.0463,127.997
"DJ Magic Mike",36,"rap","southern hip hop",NA,5.07445,0.647,0.193,-17.181,0.0529,0.0274,0.0974,170.535
"Hayden James",63,"rap","trap","2015-08-21",5.73,0.705,0.674,-8.432,0.04,0.0184,0.138,105
"Gryffin",76,"edm","pop edm","2019-03-27",3.97431666666667,0.513,0.788,-4.629,0.0364,0.00968,0.11,139.987
"Kygo",73,"pop","electropop","2017-09-21",3.94755,0.677,0.497,-5.763,0.0809,0.152,0.0911,99.137
"Golf Clap",40,"edm","electro house","2019-11-22",4.35771666666667,0.816,0.97,-5.229,0.128,0.00107,0.32,127.007
"Big Big Train",30,"rock","album rock","2017-07-14",7.29688333333333,0.289,0.141,-16.302,0.0322,0.497,0.0945,145.003
"Roger Waters",52,"rock","classic rock","2017-06-02",4.45755,0.551,0.328,-11.37,0.0293,0.523,0.116,129.13
"Pete Rock",0,"rap","gangster rap","2003-11-04",4.75333333333333,0.764,0.697,-8.677,0.255,0.29,0.108,90.905
"Lobo",55,"rock","album rock","1993-06-11",2.96555,0.628,0.603,-10.286,0.0312,0.178,0.0686,120.782
"Quiet Riot",37,"rock","hard rock","2019-11-08",4.72158333333333,0.351,0.988,-2.288,0.165,0.000715,0.593,123.233
"Bad Bunny",68,"latin","latin hip hop","2018-12-23",3.22018333333333,0.785,0.626,-8.03,0.0675,0.158,0.181,154.946
"Van Halen",65,"rock","hard rock","1978-02-10",3.79666666666667,0.518,0.938,-5.964,0.0416,0.021,0.288,139.138
"Buckcherry",3,"rock","hard rock","2019-02-08",3.86778333333333,0.665,0.959,-3.162,0.0725,0.00925,0.292,119.995
"Ñejo & Dalmata",53,"latin","reggaeton","2007-01-01",3.91511666666667,0.881,0.639,-6.682,0.101,0.0708,0.0547,107.013
"Soul Of Void",10,"edm","progressive electro house","2019-06-18",6.83413333333333,0.696,0.597,-11.765,0.0374,0.0247,0.129,116.99
"RudeLies",34,"edm","electro house","2019-07-19",3.19841666666667,0.784,0.906,-3.001,0.197,0.0588,0.342,126.021
"Ontayd'artist",26,"latin","latin pop","2019-11-17",2.8578,0.887,0.771,-4.41,0.0953,0.777,0.0882,153.935
"Zara Larsson",61,"rap","trap","2016-10-07",2.64621666666667,0.67,0.847,-3.723,0.043,0.0156,0.22,150.109
"The Internet",67,"r&b","hip pop","2015-06-26",6.92688333333333,0.568,0.42,-11.169,0.276,0.536,0.101,79.89
"Sikander Kahlon",30,"rap","hip hop","2018-01-25",3.09161666666667,0.805,0.766,-4.549,0.109,0.13,0.336,115.94
"Jimmy Bad Boy",33,"latin","latin pop","2016-08-25",3.49431666666667,0.728,0.885,-6.458,0.0373,0.122,0.314,96.977
"Fonseca",23,"latin","latin pop","2005-01-01",3.7956,0.696,0.848,-7.839,0.0602,0.214,0.0987,102.038
"Ghostface Killah",32,"rap","gangster rap","2000-01-27",3.77221666666667,0.755,0.702,-7.022,0.216,0.0254,0.0809,89.62
"3 Doors Down",56,"rock","hard rock",NA,4.41333333333333,0.499,0.88,-6.424,0.0654,0.0108,0.226,147.899
"R-Mean",43,"edm","pop edm","2019-11-29",2.51666666666667,0.502,0.736,-8.48,0.385,0.00617,0.158,178.22
"A R I Z O N A",72,"pop","indie poptimism","2019-10-11",2.86496666666667,0.72,0.658,-7.414,0.0446,0.0329,0.123,98.001
"Wo Fat",34,"rap","southern hip hop","2009-01-01",5.65955,0.329,0.786,-7.833,0.0475,1.89e-05,0.112,140.839
"Dua Lipa",82,"pop","post-teen pop","2017-06-02",3.63245,0.836,0.544,-5.975,0.0943,0.0403,0.0824,97.028
"j'san",65,"rap","hip hop","2018-04-26",2.31883333333333,0.811,0.429,-11.503,0.0789,0.468,0.109,138.027
"Hardwell",26,"edm","progressive electro house","2012-04-30",6.9941,0.584,0.949,-4.415,0.0463,0.000333,0.814,126.979
"John De Sohn",13,"edm","pop edm","2015-12-31",5.25,0.641,0.74,-6.347,0.0496,0.0611,0.562,130.001
"J Alvarez",2,"latin","reggaeton","2011-09-20",4.48733333333333,0.74,0.65,-5.849,0.136,0.0585,0.0793,172.081
"Lil' Flip",60,"rap","hip hop","2004-03-30",3.75288333333333,0.814,0.387,-9.867,0.0945,0.0248,0.131,93.961
"Changing Faces",27,"r&b","new jack swing","2005-04-19",4.416,0.71,0.312,-6.918,0.0325,0.391,0.0682,108.262
"Pas Sages",34,"edm","electro house","2018-01-26",3.86245,0.653,0.664,-10.412,0.105,0.393,0.114,120.1
"Shawn Mendes",88,"pop","post-teen pop","2019-06-19",3.18,0.759,0.548,-6.049,0.029,0.0392,0.0828,116.967
"Bon Jovi",16,"rock","classic rock","1986-01-01",3.71178333333333,0.537,0.959,-3.002,0.0557,0.0704,0.382,122.806
"Eric Clapton",41,"rock","classic rock","2018-04-13",6.83578333333333,0.688,0.762,-7.166,0.0435,0.0195,0.129,94.189
"Madison Beer",75,"pop","post-teen pop","2019-05-17",2.99295,0.65,0.594,-6.374,0.0492,0.161,0.133,145.944
"n o r m a l",57,"rap","hip hop","2019-06-25",3.17428333333333,0.576,0.193,-18.66,0.865,0.659,0.154,86.01
"N.O.R.E.",61,"latin","reggaeton","2006-07-18",4.01621666666667,0.677,0.946,-2.887,0.0553,0.185,0.274,96.011
"Green Day",78,"rock","permanent wave","2004-09-21",2.9391,0.38,0.988,-2.042,0.0639,2.64e-05,0.368,186.113
"Wham!",26,"pop","post-teen pop","1984-10-23",3.84488333333333,0.618,0.764,-6.027,0.0562,0.186,0.12,81.366
"Becky G",76,"latin","latin hip hop","2018-08-02",4.23971666666667,0.772,0.732,-3.713,0.213,0.307,0.106,100.048
"Guy",39,"r&b","new jack swing",NA,4.56266666666667,0.806,0.628,-13.974,0.0779,0.0254,0.376,107.922
"Jess Glynne",4,"r&b","urban contemporary","2015-11-03",4.40393333333333,0.563,0.466,-6.301,0.0412,0.305,0.103,149.741
"EMADUS",40,"edm","big room","2019-11-22",3.34311666666667,0.567,0.976,-5.408,0.0492,0.00143,0.359,140.039
"Rhye",41,"pop","indie poptimism","2018-02-02",3.51355,0.605,0.45,-9.825,0.0522,0.861,0.0857,101.085
"Lime Cordiale",64,"rock","permanent wave","2019-09-20",3.72056666666667,0.687,0.708,-8.133,0.0891,0.421,0.213,152.937
"Echosmith",70,"pop","post-teen pop","2013-10-04",3.96045,0.719,0.671,-6.279,0.0336,0.0372,0.12,130.027
"Rob Stepwart",15,"edm","electro house","2018-11-27",2.61718333333333,0.709,0.591,-9.572,0.036,0.0114,0.165,127.992
"Pitbull",63,"pop","post-teen pop","2009-08-27",3.952,0.817,0.733,-6.009,0.145,0.0152,0.107,127.056
"Esco",19,"rap","gangster rap","2019-03-16",3.14126666666667,0.598,0.528,-11.211,0.386,0.618,0.121,144.847
"Gucci Mane",73,"r&b","hip pop","2018-12-07",3.38601666666667,0.8,0.578,-5.144,0.0485,0.00381,0.367,143.01
"Lil Keke",8,"rap","southern hip hop",NA,4.05621666666667,0.825,0.742,-6.944,0.146,0.0123,0.0737,92.041
"J Balvin",6,"latin","reggaeton","2016-06-24",3.35466666666667,0.889,0.853,-4.26,0.241,0.154,0.205,93.022
"Matt Strike",19,"pop","dance pop","2019-03-29",2.90908333333333,0.795,0.629,-6.889,0.307,0.0531,0.773,109.897
"Linkin Park",72,"rock","album rock","2007-05-14",2.77288333333333,0.529,0.967,-3.647,0.0508,0.114,0.61,140.127
"Hunter Hunted",34,"pop","indie poptimism","2015-07-10",3.42645,0.567,0.83,-5.655,0.0281,9.6e-05,0.394,93.996
"Muse",73,"rock","permanent wave","2006-06-19",3.54066666666667,0.668,0.921,-3.727,0.0439,0.0492,0.0877,120
"Selena Gomez",80,"r&b","hip pop","2020-01-10",3.20286666666667,0.695,0.573,-8.882,0.167,0.132,0.156,100.031
"Rainbow",13,"rock","hard rock",NA,3.29778333333333,0.716,0.821,-4.204,0.0389,0.551,0.618,120.737
"Kelis",41,"r&b","new jack swing","1999-01-01",3.87308333333333,0.847,0.435,-6.732,0.0467,0.00127,0.0332,97.977
"6ix9ine",8,"r&b","hip pop","2018-11-27",2.57608333333333,0.779,0.767,-5.462,0.258,0.00214,0.102,91.981
"Michael Cooper",7,"r&b","new jack swing",NA,4.39,0.722,0.836,-11.293,0.083,0.151,0.393,107.189
"Rammstein",67,"rock","hard rock","1997-08-22",3.90378333333333,0.64,0.922,-6.283,0.0385,0.00369,0.332,125.105
"Lasso",72,"latin","latin pop","2019-09-27",3.19355,0.631,0.79,-3.807,0.273,0.701,0.0947,195.919
"The Cranberries",49,"rock","album rock","2019-04-26",3.36266666666667,0.588,0.65,-4.593,0.0257,0.00166,0.199,117.999
"Maroon 5",81,"pop","electropop","2018-05-30",3.92575,0.851,0.541,-6.825,0.0505,0.568,0.13,124.959
"Louis The Child",62,"edm","pop edm","2017-12-08",3.00246666666667,0.753,0.602,-6.326,0.149,0.052,0.102,94.056
"Tasha Cobbs Leonard",52,"r&b","urban contemporary","2017-08-25",8.43666666666667,0.436,0.636,-5.065,0.0394,0.00914,0.137,93.594
"Il Volo",47,"r&b","hip pop","2019-02-06",3.27668333333333,0.329,0.796,-3.429,0.0538,0.13,0.156,143.988
"Five Finger Death Punch",69,"rock","hard rock","2019-12-02",3.77248333333333,0.476,0.991,-2.855,0.15,0.00191,0.121,82.997
"TEC",1,"edm","progressive electro house",NA,7.73788333333333,0.725,0.724,-8.023,0.0643,0.00104,0.0412,129.995
"Sam Smith",87,"r&b","urban contemporary","2019-01-11",2.8505,0.741,0.52,-7.513,0.0656,0.45,0.222,102.998
"The Internet",67,"pop","dance pop","2015-06-26",6.92688333333333,0.568,0.42,-11.169,0.276,0.536,0.101,79.89
"Aretha Franklin",2,"edm","progressive electro house",NA,6.28488333333333,0.758,0.829,-6.622,0.174,0.0486,0.0317,122.298
"Ty Dolla $ign",50,"rap","hip hop","2016-02-19",4.3857,0.703,0.423,-8.589,0.0406,0.0385,0.0476,121.991
"Saving Abel",44,"latin","latin pop","2008-01-01",3.958,0.458,0.562,-7.594,0.0261,0.256,0.625,128.693
"Notion",62,"edm","electro house","2019-11-01",3.4375,0.783,0.789,-3.899,0.0797,0.135,0.213,128.019
"Kat Holland",31,"pop","dance pop","2020-01-03",3.56521666666667,0.644,0.414,-10.358,0.0341,0.541,0.0835,92.049
"Celo & Abdi",0,"rap","gangster rap","2017-10-13",4.9554,0.544,0.59,-6.677,0.464,0.265,0.092,80.026
"Blacknuss",26,"r&b","new jack swing",NA,4.99466666666667,0.792,0.627,-7.348,0.134,0.338,0.122,91.082
"Tom Walker",45,"pop","dance pop","2019-10-03",2.76688333333333,0.497,0.814,-4.548,0.058,0.00717,0.134,108.038
"Sweet",0,"rock","hard rock","2014-01-13",4.282,0.544,0.817,-5.424,0.0873,0.484,0.204,124.976
"VillaBanks",70,"rap","trap","2019-09-30",2.37863333333333,0.95,0.594,-6.651,0.283,0.338,0.0955,103.012
"Da A Clan",0,"latin","latin hip hop","1994-10-21",3.64645,0.652,0.801,-13.812,0.0503,0.113,0.11,121.368
"Fonseca",36,"latin","latin pop","2013-11-05",3.96221666666667,0.697,0.892,-6.934,0.135,0.237,0.131,94.948
"Fer Palacio",75,"latin","reggaeton","2019-03-21",2.64078333333333,0.795,0.676,-6.429,0.0589,0.138,0.0734,100.045
"Post Malone",98,"pop","post-teen pop","2019-09-06",3.588,0.695,0.762,-3.497,0.0395,0.192,0.0863,120.042
"Taco Hemingway",64,"rap","trap","2019-07-24",3.65488333333333,0.713,0.769,-6.613,0.0478,0.624,0.296,150.027
"Shawn Mendes",84,"r&b","hip pop","2019-05-03",3.18,0.692,0.809,-4.198,0.0602,0.524,0.147,123.911
"YBN Cordae",21,"rap","hip hop","2019-06-17",3.91216666666667,0.75,0.502,-7.184,0.31,0.238,0.106,82.54
"Ella Renn",32,"pop","indie poptimism","2019-10-18",2.71008333333333,0.762,0.53,-7.163,0.0501,0.348,0.0985,129.989
"Ludacris",57,"rap","southern hip hop","2004-01-01",4.51245,0.555,0.639,-5.16,0.263,0.0594,0.118,171.609
"Linkin Park",34,"rock","hard rock","2014-03-07",5.91866666666667,0.566,0.969,-3.369,0.046,0.0287,0.281,100.012
"All Time Low",0,"pop","post-teen pop","2008-05-20",3.638,0.493,0.895,-6.925,0.038,4.46e-05,0.0878,96.031
"DIAMANTE",36,"rock","hard rock","2020-01-17",3.70245,0.419,0.862,-5.542,0.0407,0.000112,0.39,156.041
"112",44,"rap","gangster rap",NA,4.834,0.764,0.502,-6.392,0.0508,0.0162,0.0569,95.952
"William Singe",45,"r&b","urban contemporary","2016-01-05",2.8125,0.761,0.419,-9.547,0.147,0.636,0.108,127.839
"Matt Quentin",58,"r&b","neo soul","2018-01-05",3.95061666666667,0.686,0.332,-11.759,0.0454,0.89,0.107,80.994
"N.W.A.",30,"rap","gangster rap","2007-01-01",3.97111666666667,0.464,0.785,-6.902,0.158,0.0241,0.121,164.223
"David Guetta",68,"edm","progressive electro house","2018-07-26",3.0625,0.659,0.738,-5.072,0.0477,0.118,0.115,127.95
"Thomas Newson",18,"edm","progressive electro house","2015-09-14",3.26666666666667,0.578,0.895,-3.043,0.0316,0.00235,0.55,126.007
"Janet Jackson",63,"r&b","neo soul","1997-10-07",4.02933333333333,0.789,0.413,-7.518,0.244,0.0223,0.3,89.911
"Ingenia",29,"edm","big room","2016-07-07",3.21736666666667,0.51,0.717,-2.806,0.0398,0.00656,0.0862,127.945
"E.S.G.",24,"rap","southern hip hop","1994-02-01",4.94266666666667,0.863,0.549,-11.739,0.386,0.02,0.343,152.041
"Daddy Yankee",1,"latin","reggaeton","2006-01-01",3.11421666666667,0.754,0.805,-5.974,0.0416,0.0471,0.0715,88.032
"Glenn Gatsby",28,"edm","electro house","2019-04-12",3.16393333333333,0.766,0.982,-4.285,0.0986,0.0419,0.343,122.023
"Kanye West",85,"r&b","hip pop","2019-10-25",1.74318333333333,0.529,0.9,-3.503,0.418,0.000248,0.0426,180.291
"TINI",81,"latin","latin pop","2019-10-11",2.88368333333333,0.683,0.51,-7.894,0.0646,0.447,0.175,95.08
"A$AP Ferg",55,"rap","trap","2016-10-20",4.18658333333333,0.711,0.663,-5.805,0.142,0.03,0.123,121.112
"Kool Moe Dee",17,"r&b","new jack swing","2009-05-01",4.63996666666667,0.809,0.989,-6.243,0.0819,0.00625,0.0513,126.047
"Calvin Harris",75,"pop","dance pop","2014-10-31",3.54933333333333,0.413,0.856,-4.078,0.0808,0.0289,0.343,128.017
"Arcangel",51,"latin","latin hip hop","2018-09-14",5.56923333333333,0.858,0.703,-5.318,0.137,0.0636,0.121,129.962
"Bright Ones",35,"pop","dance pop","2018-04-27",3.9129,0.739,0.635,-5.821,0.0327,0.00821,0.113,130.032
"Michael Learns To Rock",40,"rock","album rock","2014-10-25",4.58333333333333,0.688,0.437,-11.376,0.0296,0.224,0.0662,80.173
"Faith Evans",7,"r&b","urban contemporary","2010-10-25",3.93866666666667,0.469,0.544,-9.966,0.0788,0.0197,0.313,75.086
"Youngheart",33,"pop","dance pop","2018-05-11",3.67,0.556,0.837,-7.121,0.0447,0.0764,0.105,100.005
"Surfaces",81,"pop","dance pop","2019-01-06",2.64285,0.878,0.525,-6.832,0.0578,0.183,0.0714,112.022
"Keith Sweat",8,"r&b","new jack swing","2017-08-11",6.00178333333333,0.74,0.467,-12.066,0.0425,0.0145,0.173,107.848
"Soda Stereo",41,"rock","album rock","1997-10-09",6.49045,0.488,0.667,-7.051,0.0285,0.0134,0.918,96.986
"Cream",18,"rock","album rock","1968-07-01",5.05333333333333,0.55,0.576,-13.475,0.0306,0.178,0.0555,109.837
"King Lil G",55,"latin","latin hip hop","2015-03-10",3.12645,0.714,0.659,-7.423,0.307,0.688,0.128,87.119
"Billie Eilish",71,"r&b","urban contemporary","2017-05-05",3.68,0.832,0.368,-8.627,0.133,0.2,0.353,100.045
